Trip_ID,Truck_ID,Driver_ID,Date,Mine,Destination,Distance_km,Coal_Weight_Ton,Fuel_Used_Liters,Average_Speed_kmh,Loading_Time_Min,Unloading_Time_Min,Weather,Traffic_Level,Driver_Experience_Years,Previous_Delays,Safety_Score,Delay,Fuel_Efficiency_km_per_liter,Loading_Time_Group,Experience_Group
TRIP-04725,TRK-068,DRV-053,2026-01-01,Mine_C,Power_Plant_B,27.26,19.38,10.06,53.53,30.54,20.03,Clear,Low,12,1,78.59,0,2.709741550695825,30-40 min,8-12 years
TRIP-05461,TRK-029,DRV-102,2026-01-01,Mine_B,Railway_Yard_A,36.42,21.09,10.79,48.18,33.12,28.59,Clear,Medium,8,3,76.5,0,3.3753475440222434,30-40 min,8-12 years
TRIP-06138,TRK-069,DRV-048,2026-01-01,Mine_D,Power_Plant_A,147.63,22.12,27.17,47.97,29.53,18.43,Cloudy,Medium,11,3,100.0,0,5.433566433566433,Under 30 min,8-12 years
TRIP-07389,TRK-004,DRV-152,2026-01-01,Mine_D,Railway_Yard_B,143.1,31.19,31.39,50.54,37.31,33.72,Clear,Medium,16,4,71.56,1,4.558776680471487,30-40 min,13-20 years
TRIP-08641,TRK-093,DRV-179,2026-01-01,Mine_C,Power_Plant_B,20.09,25.72,5.0,47.08,37.17,19.12,Rain,Low,13,3,80.21,0,4.018,30-40 min,13-20 years
TRIP-08643,TRK-037,DRV-076,2026-01-01,Mine_D,Railway_Yard_B,35.25,32.73,11.19,46.24,45.2,26.23,Rain,Low,17,0,82.4,0,3.1501340482573728,40-50 min,13-20 years
TRIP-06891,TRK-063,DRV-065,2026-01-01,Mine_C,Railway_Yard_A,127.96,27.75,26.61,47.47,40.12,26.47,Clear,Medium,3,2,81.95,0,4.8087185268695976,40-50 min,1-3 years
TRIP-07742,TRK-001,DRV-136,2026-01-01,Mine_C,Power_Plant_B,53.24,27.62,17.04,39.21,26.73,23.42,Rain,Low,16,4,82.1,0,3.1244131455399065,Under 30 min,13-20 years
TRIP-09833,TRK-035,DRV-125,2026-01-01,Mine_D,Railway_Yard_A,148.9,31.12,28.83,45.25,43.01,30.75,Clear,Medium,6,3,96.73,1,5.164758931668401,40-50 min,4-7 years
TRIP-03296,TRK-027,DRV-152,2026-01-01,Mine_B,Power_Plant_B,137.18,16.74,25.34,42.58,20.72,21.67,Clear,Medium,15,3,79.28,0,5.413575374901342,Under 30 min,13-20 years
