Distance_km,Coal_Weight_Ton,Fuel_Used_Liters,Average_Speed_kmh,Loading_Time_Min,Unloading_Time_Min,Weather,Traffic_Level,Driver_Experience_Years,Previous_Delays,Safety_Score,Fuel_Efficiency_km_per_liter,Delay_Probability,Actual_Delay,Risk_Level,Recommended_Action
137.35,24.18,28.63,48.96,43.56,23.12,Cloudy,Medium,11,4,83.47,4.797415298637793,0.3456011326048576,0,MEDIUM,Monitor trip
79.03,38.82,23.11,40.9,34.56,32.4,Clear,Low,20,1,82.86,3.4197317178710516,0.1297406282603221,0,LOW,Normal operation
123.58,25.09,25.26,58.17,29.9,24.16,Cloudy,Low,16,2,81.66,4.892319873317498,0.20869647473740507,0,LOW,Normal operation
98.47,34.33,23.54,39.93,33.3,25.08,Rain,Low,6,3,76.81,4.183092608326254,0.2840921698541455,1,LOW,Normal operation
32.97,37.71,12.27,68.87,44.44,21.78,Clear,Low,7,3,71.53,2.687041564792176,0.13494896953595428,0,LOW,Normal operation
24.34,38.99,13.74,40.29,26.79,27.21,Cloudy,Medium,8,5,87.24,1.7714701601164482,0.2902185556960057,1,LOW,Normal operation
51.79,29.93,18.31,31.47,26.96,25.76,Heavy_Rain,Medium,10,1,84.76,2.828509011469143,0.6187422611880525,1,HIGH,Increase trip monitoring
65.45,22.7,13.95,44.67,31.63,28.48,Clear,High,16,4,73.02,4.691756272401435,0.2997075510637148,0,LOW,Normal operation
97.79,37.51,21.78,57.02,39.09,27.17,Clear,Low,20,2,89.94,4.48989898989899,0.1238210433921671,0,LOW,Normal operation
132.99,19.78,24.03,37.8,34.59,14.28,Rain,Medium,3,4,82.71,5.534332084893883,0.4880662918933668,1,MEDIUM,Monitor trip
63.24,27.44,15.93,53.6,30.99,28.83,Clear,Low,12,4,72.68,3.969868173258004,0.1506547259987919,1,LOW,Normal operation
98.53,27.67,21.4,42.92,30.67,20.8,Rain,High,10,2,72.55,4.6042056074766355,0.35118434095577683,0,MEDIUM,Monitor trip
54.81,38.4,14.99,51.75,27.52,30.44,Clear,Low,2,1,85.75,3.656437625083389,0.16596176238772153,0,LOW,Normal operation
58.65,34.39,17.4,50.48,45.31,29.78,Clear,Low,6,3,93.64,3.370689655172414,0.15602638083221884,0,LOW,Normal operation
74.61,31.14,16.67,42.66,36.59,28.24,Clear,High,12,2,93.05,4.475704859028194,0.2733384654030442,0,LOW,Normal operation
122.71,19.04,27.07,49.4,42.91,17.21,Clear,Low,14,3,81.96,4.533062430735131,0.23980785463260684,0,LOW,Normal operation
62.84,33.88,21.8,60.55,43.08,31.01,Cloudy,Low,1,3,92.04,2.8825688073394495,0.21876467594647525,0,LOW,Normal operation
30.55,18.3,7.32,51.18,32.62,21.3,Cloudy,Low,13,4,73.21,4.173497267759563,0.18832031214199302,1,LOW,Normal operation
139.8,22.66,26.07,56.73,44.24,13.5,Cloudy,Medium,17,2,84.98,5.362485615650173,0.23848537576247264,1,LOW,Normal operation
23.38,33.43,14.13,40.46,39.86,18.54,Rain,Medium,18,5,78.86,1.6546355272469921,0.46528425936593704,1,MEDIUM,Monitor trip
97.69,30.12,21.31,54.62,24.02,19.06,Clear,Medium,7,2,79.13,4.584232754575317,0.1584131392927068,0,LOW,Normal operation
77.31,26.16,16.63,47.68,42.44,23.45,Cloudy,Low,4,2,77.2,4.648827420324714,0.18623288194895302,1,LOW,Normal operation
126.85,18.64,28.23,33.24,27.73,25.86,Rain,Medium,6,3,80.61,4.493446687920652,0.5829600520610341,1,HIGH,Increase trip monitoring
125.17,25.49,25.67,23.83,35.49,16.98,Rain,Medium,13,5,84.56,4.876119984417608,0.6682136011610872,1,HIGH,Increase trip monitoring
139.98,34.4,28.4,52.73,37.3,27.96,Clear,Low,15,4,83.27,4.928873239436619,0.22571098643719573,0,LOW,Normal operation
21.89,18.07,10.4,36.81,23.75,27.25,Clear,High,2,3,81.88,2.104807692307692,0.32531294988164283,0,MEDIUM,Monitor trip
75.08,20.59,16.59,50.94,41.91,31.01,Clear,Low,18,4,88.77,4.5256178420735385,0.14930155058100633,0,LOW,Normal operation
136.68,23.2,27.9,52.81,30.59,28.8,Rain,Low,4,1,74.06,4.898924731182796,0.3184310345625764,0,MEDIUM,Monitor trip
61.05,23.32,24.92,22.32,24.83,21.63,Heavy_Rain,Medium,11,2,86.0,2.44983948635634,0.6856228062042662,1,HIGH,Increase trip monitoring
56.07,25.18,15.13,43.82,23.74,25.64,Heavy_Rain,Low,10,6,93.58,3.705882352941176,0.41876753424634294,0,MEDIUM,Monitor trip
109.46,19.01,24.56,47.08,39.66,30.52,Cloudy,Low,20,4,82.97,4.456840390879479,0.25122443344204015,1,LOW,Normal operation
91.25,18.48,18.45,39.18,32.35,27.18,Heavy_Rain,Low,10,1,88.14,4.94579945799458,0.3145866510006917,0,MEDIUM,Monitor trip
122.07,37.42,27.09,64.44,30.86,26.78,Clear,Low,12,3,81.15,4.506090808416389,0.18137948506769808,0,LOW,Normal operation
54.11,35.33,14.45,63.7,42.81,21.57,Clear,Low,18,5,83.85,3.7446366782006923,0.2353322365404638,1,LOW,Normal operation
30.96,19.43,8.61,55.58,22.14,21.55,Clear,Low,12,5,66.16,3.5958188153310107,0.17540366313730568,0,LOW,Normal operation
57.94,32.61,19.5,54.65,43.15,21.58,Clear,Medium,12,4,85.58,2.971282051282051,0.20120939402771687,0,LOW,Normal operation
74.26,23.74,16.0,55.76,25.86,28.04,Rain,Low,16,3,74.31,4.64125,0.23605063270469323,0,LOW,Normal operation
35.86,38.06,16.39,47.28,33.64,25.85,Clear,Medium,20,8,74.81,2.187919463087248,0.34907330260817,0,MEDIUM,Monitor trip
133.71,19.23,28.5,20.0,40.07,27.97,Cloudy,High,18,1,83.51,4.691578947368422,0.6280654252873662,1,HIGH,Increase trip monitoring
46.32,34.86,13.79,63.7,48.13,33.41,Clear,Low,17,5,96.34,3.3589557650471358,0.37774576461993303,1,MEDIUM,Monitor trip
25.56,37.62,10.81,49.25,37.37,25.1,Clear,Medium,5,4,82.02,2.364477335800185,0.2090093894295756,0,LOW,Normal operation
148.75,32.21,34.21,58.71,38.44,17.92,Clear,Low,8,3,76.07,4.348143817597194,0.12129594119645107,1,LOW,Normal operation
112.72,31.8,32.47,20.89,44.23,30.75,Heavy_Rain,Medium,14,1,90.19,3.4715121650754543,0.7186747497983325,0,CRITICAL,Critical monitoring - Heavy rain risk
54.24,19.34,14.1,40.58,26.8,31.8,Clear,High,18,4,75.1,3.846808510638298,0.29785858605598053,1,LOW,Normal operation
46.17,35.3,17.61,43.28,28.69,13.73,Clear,Medium,12,1,74.12,2.621805792163544,0.18596057175774183,0,LOW,Normal operation
137.36,32.39,32.01,50.61,31.5,25.53,Clear,Medium,9,4,93.5,4.291159012808498,0.31019513336901333,0,MEDIUM,Monitor trip
90.36,16.33,15.99,33.57,33.27,21.76,Cloudy,High,2,2,86.88,5.651031894934333,0.49355772009185866,1,MEDIUM,Monitor trip
145.29,20.26,29.63,57.43,47.08,17.51,Clear,Low,13,5,100.0,4.903476206547418,0.5798506957161695,1,HIGH,Increase trip monitoring
84.72,35.8,18.26,46.31,24.74,23.91,Rain,High,3,2,84.87,4.639649507119386,0.5753959828058197,1,HIGH,Increase trip monitoring
81.68,25.75,22.86,24.53,28.44,28.83,Heavy_Rain,Low,18,7,88.79,3.573053368328959,0.6646296472063351,0,HIGH,Increase trip monitoring
86.65,32.66,25.27,32.8,33.41,27.72,Rain,High,14,3,84.33,3.428967154728928,0.4606407454894499,0,MEDIUM,Monitor trip
