Feature,Importance
remainder__Average_Speed_kmh,0.3441624827043735
remainder__Distance_km,0.12116527037912972
remainder__Loading_Time_Min,0.08672322262684287
remainder__Previous_Delays,0.05779267798644602
categorical__Weather_Heavy_Rain,0.04872594438839389
remainder__Fuel_Used_Liters,0.0397723376539726
remainder__Unloading_Time_Min,0.038733931389532426
remainder__Fuel_Efficiency_km_per_liter,0.03799015453442245
remainder__Coal_Weight_Ton,0.03635212798311535
categorical__Weather_Clear,0.03628343139626446
categorical__Traffic_Level_High,0.035455598402019
remainder__Safety_Score,0.033816706107559345
categorical__Traffic_Level_Low,0.028996018617420103
remainder__Driver_Experience_Years,0.02103145271981496
categorical__Weather_Rain,0.020683804989122596
categorical__Weather_Cloudy,0.012310893398582578
categorical__Traffic_Level_Medium,3.944722988106399e-06
