Trip_ID,Truck_ID,Driver_ID,Date,Mine,Destination,Distance_km,Coal_Weight_Ton,Fuel_Used_Liters,Average_Speed_kmh,Loading_Time_Min,Unloading_Time_Min,Weather,Traffic_Level,Driver_Experience_Years,Previous_Delays,Safety_Score,Delay
TRIP-00002,TRK-029,DRV-088,2026-01-04,Mine_D,Railway_Yard_B,146.86,37.39,33.71,31.5,22.36,23.57,Clear,High,6,3,74.31,0
TRIP-00091,TRK-026,DRV-009,2026-01-05,Mine_A,Power_Plant_B,64.3,26.59,19.38,60.87,17.46,32.91,Heavy_Rain,Low,12,0,86.5,1
TRIP-00093,TRK-045,DRV-037,2026-01-06,Mine_C,Railway_Yard_B,131.59,29.59,31.83,51.7,51.13,36.05,Cloudy,High,11,7,86.08,1
TRIP-00010,TRK-011,DRV-035,2026-01-06,Mine_D,Power_Plant_B,145.14,29.34,33.02,59.64,51.75,20.87,Heavy_Rain,Medium,13,1,98.06,1
TRIP-00062,TRK-036,DRV-071,2026-01-08,Mine_C,Railway_Yard_B,70.19,24.37,16.77,48.6,57.63,17.3,Rain,Low,13,5,81.73,0
TRIP-00087,TRK-045,DRV-003,2026-01-08,Mine_A,Railway_Yard_A,148.77,26.39,34.44,30.55,54.15,26.56,Rain,Medium,12,8,63.9,1
TRIP-00054,TRK-047,DRV-094,2026-01-13,Mine_B,Power_Plant_A,96.15,26.72,22.33,26.15,39.42,30.16,Rain,Low,2,6,66.97,1
TRIP-00084,TRK-040,DRV-027,2026-01-15,Mine_C,Railway_Yard_A,43.07,22.02,12.1,30.16,52.75,18.04,Heavy_Rain,Low,18,7,76.52,1
TRIP-00041,TRK-021,DRV-027,2026-01-17,Mine_D,Power_Plant_B,71.81,35.32,19.68,49.73,30.39,35.85,Cloudy,Medium,13,4,61.75,0
TRIP-00005,TRK-008,DRV-088,2026-01-17,Mine_A,Railway_Yard_B,123.37,37.63,35.54,62.99,44.93,14.23,Heavy_Rain,Low,16,8,68.03,1
TRIP-00025,TRK-033,DRV-088,2026-01-18,Mine_B,Railway_Yard_B,74.55,23.77,19.11,27.26,43.25,16.3,Clear,High,6,4,83.9,1
TRIP-00060,TRK-014,DRV-013,2026-01-20,Mine_A,Power_Plant_B,90.93,29.58,25.27,25.58,33.04,17.15,Clear,Low,8,8,90.71,1
TRIP-00014,TRK-040,DRV-041,2026-01-24,Mine_C,Railway_Yard_B,42.53,23.22,12.31,57.42,28.56,29.91,Cloudy,Medium,18,10,84.66,0
